"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Update course","LMS service","Thu Mar 19 07:31:21 UTC 2026","passed","Thu Mar 19 07:31:21 UTC 2026","Update entity","Courses","",""
"","325","Delete exercise","LMS service","Thu Mar 19 07:31:24 UTC 2026","passed","Thu Mar 19 07:31:24 UTC 2026","Delete entity","Exercises","",""
"","296","Create file with empty filename","LMS service","Thu Mar 19 07:31:27 UTC 2026","failed","Thu Mar 19 07:31:27 UTC 2026","Validate entity","Files","",""
"","321","Create user","LMS service","Thu Mar 19 07:31:29 UTC 2026","passed","Thu Mar 19 07:31:29 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Thu Mar 19 07:31:30 UTC 2026","passed","Thu Mar 19 07:31:30 UTC 2026","Get entity","Users","",""
"","17","Get exercises","LMS service","Thu Mar 19 07:31:25 UTC 2026","passed","Thu Mar 19 07:31:25 UTC 2026","Get entities","Exercises","",""
"","301","Get file with incorrect file id","LMS service","Thu Mar 19 07:31:28 UTC 2026","passed","Thu Mar 19 07:31:28 UTC 2026","Validate entity","Files","",""
"","24","Get courses","LMS service","Thu Mar 19 07:31:20 UTC 2026","passed","Thu Mar 19 07:31:20 UTC 2026","Get entities","Courses","",""
"","20","Delete file","LMS service","Thu Mar 19 07:31:29 UTC 2026","passed","Thu Mar 19 07:31:29 UTC 2026","Delete entity","Files","",""
"","608","Create user","LMS service","Thu Mar 19 07:31:29 UTC 2026","passed","Thu Mar 19 07:31:29 UTC 2026","Create entity","Users","",""
"","322","Update exercise","LMS service","Thu Mar 19 07:31:23 UTC 2026","passed","Thu Mar 19 07:31:23 UTC 2026","Update entity","Exercises","",""
"","617","Login with correct email and password","LMS service","Thu Mar 19 07:31:19 UTC 2026","passed","Thu Mar 19 07:31:20 UTC 2026","Login","Authentication","",""
"","11","Get exercise","LMS service","Thu Mar 19 07:31:23 UTC 2026","passed","Thu Mar 19 07:31:24 UTC 2026","Get entity","Exercises","",""
"","296","Create file","LMS service","Thu Mar 19 07:31:25 UTC 2026","passed","Thu Mar 19 07:31:26 UTC 2026","Create entity","Files","",""
"","15","Get file","LMS service","Thu Mar 19 07:31:26 UTC 2026","passed","Thu Mar 19 07:31:26 UTC 2026","Get entity","Files","",""
"","329","Create course","LMS service","Thu Mar 19 07:31:21 UTC 2026","passed","Thu Mar 19 07:31:22 UTC 2026","Create entity","Courses","",""
"","609","Create user","LMS service","Thu Mar 19 07:31:28 UTC 2026","passed","Thu Mar 19 07:31:29 UTC 2026","Create entity","Users","",""
"","296","Create file with empty directory","LMS service","Thu Mar 19 07:31:27 UTC 2026","failed","Thu Mar 19 07:31:27 UTC 2026","Validate entity","Files","",""
"","330","Create exercise","LMS service","Thu Mar 19 07:31:22 UTC 2026","passed","Thu Mar 19 07:31:22 UTC 2026","Create entity","Exercises","",""
