"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Get file with incorrect file id","LMS service","Thu Mar 19 06:52:17 UTC 2026","passed","Thu Mar 19 06:52:17 UTC 2026","Validate entity","Files","",""
"","605","Create user","LMS service","Thu Mar 19 06:52:18 UTC 2026","passed","Thu Mar 19 06:52:19 UTC 2026","Create entity","Users","",""
"","24","Create course","LMS service","Thu Mar 19 06:52:11 UTC 2026","passed","Thu Mar 19 06:52:11 UTC 2026","Create entity","Courses","",""
"","11","Create file with empty directory","LMS service","Thu Mar 19 06:52:17 UTC 2026","failed","Thu Mar 19 06:52:17 UTC 2026","Validate entity","Files","",""
"","294","Create file with empty filename","LMS service","Thu Mar 19 06:52:16 UTC 2026","failed","Thu Mar 19 06:52:16 UTC 2026","Validate entity","Files","",""
"","12","Get file","LMS service","Thu Mar 19 06:52:16 UTC 2026","passed","Thu Mar 19 06:52:16 UTC 2026","Get entity","Files","",""
"","13","Get exercise","LMS service","Thu Mar 19 06:52:13 UTC 2026","passed","Thu Mar 19 06:52:13 UTC 2026","Get entity","Exercises","",""
"","20","Create file","LMS service","Thu Mar 19 06:52:15 UTC 2026","passed","Thu Mar 19 06:52:15 UTC 2026","Create entity","Files","",""
"","11","Get user me","LMS service","Thu Mar 19 06:52:19 UTC 2026","passed","Thu Mar 19 06:52:19 UTC 2026","Get entity","Users","",""
"","589","Create user","LMS service","Thu Mar 19 06:52:17 UTC 2026","passed","Thu Mar 19 06:52:18 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Thu Mar 19 06:52:13 UTC 2026","passed","Thu Mar 19 06:52:13 UTC 2026","Delete entity","Exercises","",""
"","621","Login with correct email and password","LMS service","Thu Mar 19 06:52:09 UTC 2026","passed","Thu Mar 19 06:52:09 UTC 2026","Login","Authentication","",""
"","21","Create exercise","LMS service","Thu Mar 19 06:52:12 UTC 2026","passed","Thu Mar 19 06:52:12 UTC 2026","Create entity","Exercises","",""
"","597","Create user","LMS service","Thu Mar 19 06:52:18 UTC 2026","passed","Thu Mar 19 06:52:18 UTC 2026","Create entity","Users","",""
"","19","Delete file","LMS service","Thu Mar 19 06:52:18 UTC 2026","passed","Thu Mar 19 06:52:18 UTC 2026","Delete entity","Files","",""
"","28","Get courses","LMS service","Thu Mar 19 06:52:09 UTC 2026","passed","Thu Mar 19 06:52:09 UTC 2026","Get entities","Courses","",""
"","17","Get exercises","LMS service","Thu Mar 19 06:52:15 UTC 2026","passed","Thu Mar 19 06:52:15 UTC 2026","Get entities","Exercises","",""
"","19","Update exercise","LMS service","Thu Mar 19 06:52:12 UTC 2026","passed","Thu Mar 19 06:52:12 UTC 2026","Update entity","Exercises","",""
"","28","Update course","LMS service","Thu Mar 19 06:52:11 UTC 2026","passed","Thu Mar 19 06:52:11 UTC 2026","Update entity","Courses","",""
