"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Update course","LMS service","Thu Mar 19 07:03:23 UTC 2026","passed","Thu Mar 19 07:03:23 UTC 2026","Update entity","Courses","",""
"","19","Get exercises","LMS service","Thu Mar 19 07:03:26 UTC 2026","passed","Thu Mar 19 07:03:26 UTC 2026","Get entities","Exercises","",""
"","24","Create course","LMS service","Thu Mar 19 07:03:23 UTC 2026","passed","Thu Mar 19 07:03:23 UTC 2026","Create entity","Courses","",""
"","12","Get file","LMS service","Thu Mar 19 07:03:27 UTC 2026","passed","Thu Mar 19 07:03:27 UTC 2026","Get entity","Files","",""
"","245","Create file with empty directory","LMS service","Thu Mar 19 07:03:28 UTC 2026","broken","Thu Mar 19 07:03:29 UTC 2026","Validate entity","Files","",""
"","521","Create user","LMS service","Thu Mar 19 07:03:29 UTC 2026","passed","Thu Mar 19 07:03:30 UTC 2026","Create entity","Users","",""
"","242","Get file with incorrect file id","LMS service","Thu Mar 19 07:03:29 UTC 2026","passed","Thu Mar 19 07:03:29 UTC 2026","Validate entity","Files","",""
"","245","Create file with empty filename","LMS service","Thu Mar 19 07:03:28 UTC 2026","failed","Thu Mar 19 07:03:28 UTC 2026","Validate entity","Files","",""
"","275","Update exercise","LMS service","Thu Mar 19 07:03:25 UTC 2026","passed","Thu Mar 19 07:03:25 UTC 2026","Update entity","Exercises","",""
"","20","Create exercise","LMS service","Thu Mar 19 07:03:24 UTC 2026","passed","Thu Mar 19 07:03:24 UTC 2026","Create entity","Exercises","",""
"","269","Create user","LMS service","Thu Mar 19 07:03:30 UTC 2026","passed","Thu Mar 19 07:03:30 UTC 2026","Create entity","Users","",""
"","514","Create user","LMS service","Thu Mar 19 07:03:30 UTC 2026","passed","Thu Mar 19 07:03:30 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Thu Mar 19 07:03:30 UTC 2026","passed","Thu Mar 19 07:03:30 UTC 2026","Delete entity","Files","",""
"","12","Get user me","LMS service","Thu Mar 19 07:03:31 UTC 2026","passed","Thu Mar 19 07:03:31 UTC 2026","Get entity","Users","",""
"","250","Create file","LMS service","Thu Mar 19 07:03:27 UTC 2026","passed","Thu Mar 19 07:03:27 UTC 2026","Create entity","Files","",""
"","279","Get courses","LMS service","Thu Mar 19 07:03:22 UTC 2026","passed","Thu Mar 19 07:03:23 UTC 2026","Get entities","Courses","",""
"","10","Get exercise","LMS service","Thu Mar 19 07:03:25 UTC 2026","passed","Thu Mar 19 07:03:25 UTC 2026","Get entity","Exercises","",""
"","275","Delete exercise","LMS service","Thu Mar 19 07:03:26 UTC 2026","passed","Thu Mar 19 07:03:26 UTC 2026","Delete entity","Exercises","",""
"","522","Login with correct email and password","LMS service","Thu Mar 19 07:03:21 UTC 2026","passed","Thu Mar 19 07:03:22 UTC 2026","Login","Authentication","",""
