"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty filename","LMS service","Thu Mar 19 07:49:11 UTC 2026","passed","Thu Mar 19 07:49:11 UTC 2026","Validate entity","Files","",""
"","24","Get exercises","LMS service","Thu Mar 19 07:49:10 UTC 2026","passed","Thu Mar 19 07:49:10 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Thu Mar 19 07:49:14 UTC 2026","passed","Thu Mar 19 07:49:14 UTC 2026","Get entity","Users","",""
"","14","Get file","LMS service","Thu Mar 19 07:49:11 UTC 2026","passed","Thu Mar 19 07:49:11 UTC 2026","Get entity","Files","",""
"","541","Create user","LMS service","Thu Mar 19 07:49:12 UTC 2026","passed","Thu Mar 19 07:49:13 UTC 2026","Create entity","Users","",""
"","526","Create user","LMS service","Thu Mar 19 07:49:13 UTC 2026","passed","Thu Mar 19 07:49:13 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Thu Mar 19 07:49:09 UTC 2026","passed","Thu Mar 19 07:49:09 UTC 2026","Delete entity","Exercises","",""
"","38","Update course","LMS service","Thu Mar 19 07:49:06 UTC 2026","passed","Thu Mar 19 07:49:06 UTC 2026","Update entity","Courses","",""
"","540","Create user","LMS service","Thu Mar 19 07:49:13 UTC 2026","passed","Thu Mar 19 07:49:14 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Thu Mar 19 07:49:07 UTC 2026","passed","Thu Mar 19 07:49:08 UTC 2026","Update entity","Exercises","",""
"","27","Create course","LMS service","Thu Mar 19 07:49:06 UTC 2026","passed","Thu Mar 19 07:49:06 UTC 2026","Create entity","Courses","",""
"","544","Login with correct email and password","LMS service","Thu Mar 19 07:49:05 UTC 2026","passed","Thu Mar 19 07:49:05 UTC 2026","Login","Authentication","",""
"","20","Delete file","LMS service","Thu Mar 19 07:49:13 UTC 2026","passed","Thu Mar 19 07:49:13 UTC 2026","Delete entity","Files","",""
"","22","Create exercise","LMS service","Thu Mar 19 07:49:07 UTC 2026","passed","Thu Mar 19 07:49:07 UTC 2026","Create entity","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Thu Mar 19 07:49:12 UTC 2026","passed","Thu Mar 19 07:49:12 UTC 2026","Validate entity","Files","",""
"","16","Get exercise","LMS service","Thu Mar 19 07:49:09 UTC 2026","passed","Thu Mar 19 07:49:09 UTC 2026","Get entity","Exercises","",""
"","27","Get courses","LMS service","Thu Mar 19 07:49:05 UTC 2026","passed","Thu Mar 19 07:49:05 UTC 2026","Get entities","Courses","",""
"","23","Create file","LMS service","Thu Mar 19 07:49:10 UTC 2026","passed","Thu Mar 19 07:49:10 UTC 2026","Create entity","Files","",""
"","265","Create file with empty directory","LMS service","Thu Mar 19 07:49:12 UTC 2026","passed","Thu Mar 19 07:49:12 UTC 2026","Validate entity","Files","",""
