"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Thu Mar 19 07:58:16 UTC 2026","passed","Thu Mar 19 07:58:16 UTC 2026","Get entity","Users","",""
"","303","Create course","LMS service","Thu Mar 19 07:58:08 UTC 2026","passed","Thu Mar 19 07:58:08 UTC 2026","Create entity","Courses","",""
"","258","Create file with empty filename","LMS service","Thu Mar 19 07:58:12 UTC 2026","passed","Thu Mar 19 07:58:13 UTC 2026","Validate entity","Files","",""
"","535","Create user","LMS service","Thu Mar 19 07:58:14 UTC 2026","passed","Thu Mar 19 07:58:15 UTC 2026","Create entity","Users","",""
"","260","Create file with empty directory","LMS service","Thu Mar 19 07:58:13 UTC 2026","passed","Thu Mar 19 07:58:13 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Mar 19 07:58:12 UTC 2026","passed","Thu Mar 19 07:58:12 UTC 2026","Get entity","Files","",""
"","294","Create exercise","LMS service","Thu Mar 19 07:58:08 UTC 2026","passed","Thu Mar 19 07:58:08 UTC 2026","Create entity","Exercises","",""
"","27","Get courses","LMS service","Thu Mar 19 07:58:07 UTC 2026","passed","Thu Mar 19 07:58:07 UTC 2026","Get entities","Courses","",""
"","16","Get exercises","LMS service","Thu Mar 19 07:58:11 UTC 2026","passed","Thu Mar 19 07:58:11 UTC 2026","Get entities","Exercises","",""
"","550","Login with correct email and password","LMS service","Thu Mar 19 07:58:06 UTC 2026","passed","Thu Mar 19 07:58:06 UTC 2026","Login","Authentication","",""
"","262","Create file","LMS service","Thu Mar 19 07:58:11 UTC 2026","passed","Thu Mar 19 07:58:11 UTC 2026","Create entity","Files","",""
"","548","Create user","LMS service","Thu Mar 19 07:58:14 UTC 2026","passed","Thu Mar 19 07:58:14 UTC 2026","Create entity","Users","",""
"","35","Update course","LMS service","Thu Mar 19 07:58:07 UTC 2026","passed","Thu Mar 19 07:58:07 UTC 2026","Update entity","Courses","",""
"","293","Delete exercise","LMS service","Thu Mar 19 07:58:10 UTC 2026","passed","Thu Mar 19 07:58:10 UTC 2026","Delete entity","Exercises","",""
"","293","Update exercise","LMS service","Thu Mar 19 07:58:09 UTC 2026","passed","Thu Mar 19 07:58:09 UTC 2026","Update entity","Exercises","",""
"","22","Delete file","LMS service","Thu Mar 19 07:58:14 UTC 2026","passed","Thu Mar 19 07:58:14 UTC 2026","Delete entity","Files","",""
"","11","Get exercise","LMS service","Thu Mar 19 07:58:10 UTC 2026","passed","Thu Mar 19 07:58:10 UTC 2026","Get entity","Exercises","",""
"","265","Get file with incorrect file id","LMS service","Thu Mar 19 07:58:13 UTC 2026","passed","Thu Mar 19 07:58:14 UTC 2026","Validate entity","Files","",""
"","288","Create user","LMS service","Thu Mar 19 07:58:14 UTC 2026","passed","Thu Mar 19 07:58:15 UTC 2026","Create entity","Users","",""
