"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Delete file","LMS service","Thu Mar 19 08:00:05 UTC 2026","passed","Thu Mar 19 08:00:05 UTC 2026","Delete entity","Files","",""
"","27","Create file","LMS service","Thu Mar 19 08:00:01 UTC 2026","passed","Thu Mar 19 08:00:01 UTC 2026","Create entity","Files","",""
"","28","Update exercise","LMS service","Thu Mar 19 07:59:59 UTC 2026","passed","Thu Mar 19 07:59:59 UTC 2026","Update entity","Exercises","",""
"","25","Create exercise","LMS service","Thu Mar 19 07:59:59 UTC 2026","passed","Thu Mar 19 07:59:59 UTC 2026","Create entity","Exercises","",""
"","13","Get user me","LMS service","Thu Mar 19 08:00:06 UTC 2026","passed","Thu Mar 19 08:00:06 UTC 2026","Get entity","Users","",""
"","26","Create course","LMS service","Thu Mar 19 07:59:58 UTC 2026","passed","Thu Mar 19 07:59:58 UTC 2026","Create entity","Courses","",""
"","28","Get courses","LMS service","Thu Mar 19 07:59:57 UTC 2026","passed","Thu Mar 19 07:59:57 UTC 2026","Get entities","Courses","",""
"","19","Get file","LMS service","Thu Mar 19 08:00:03 UTC 2026","passed","Thu Mar 19 08:00:03 UTC 2026","Get entity","Files","",""
"","541","Create user","LMS service","Thu Mar 19 08:00:05 UTC 2026","passed","Thu Mar 19 08:00:06 UTC 2026","Create entity","Users","",""
"","266","Create file with empty directory","LMS service","Thu Mar 19 08:00:04 UTC 2026","passed","Thu Mar 19 08:00:04 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Thu Mar 19 08:00:00 UTC 2026","passed","Thu Mar 19 08:00:00 UTC 2026","Get entity","Exercises","",""
"","556","Login with correct email and password","LMS service","Thu Mar 19 07:59:56 UTC 2026","passed","Thu Mar 19 07:59:57 UTC 2026","Login","Authentication","",""
"","17","Get file with incorrect file id","LMS service","Thu Mar 19 08:00:04 UTC 2026","passed","Thu Mar 19 08:00:04 UTC 2026","Validate entity","Files","",""
"","25","Delete exercise","LMS service","Thu Mar 19 08:00:00 UTC 2026","passed","Thu Mar 19 08:00:00 UTC 2026","Delete entity","Exercises","",""
"","260","Create file with empty filename","LMS service","Thu Mar 19 08:00:02 UTC 2026","passed","Thu Mar 19 08:00:03 UTC 2026","Validate entity","Files","",""
"","24","Get exercises","LMS service","Thu Mar 19 08:00:01 UTC 2026","passed","Thu Mar 19 08:00:01 UTC 2026","Get entities","Exercises","",""
"","546","Create user","LMS service","Thu Mar 19 08:00:04 UTC 2026","passed","Thu Mar 19 08:00:04 UTC 2026","Create entity","Users","",""
"","37","Update course","LMS service","Thu Mar 19 07:59:58 UTC 2026","passed","Thu Mar 19 07:59:58 UTC 2026","Update entity","Courses","",""
"","528","Create user","LMS service","Thu Mar 19 08:00:04 UTC 2026","passed","Thu Mar 19 08:00:05 UTC 2026","Create entity","Users","",""
