"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","321","Update exercise","LMS service","Thu Mar 19 07:28:16 UTC 2026","passed","Thu Mar 19 07:28:17 UTC 2026","Update entity","Exercises","",""
"","605","Create user","LMS service","Thu Mar 19 07:28:22 UTC 2026","passed","Thu Mar 19 07:28:23 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Thu Mar 19 07:28:24 UTC 2026","passed","Thu Mar 19 07:28:24 UTC 2026","Get entity","Users","",""
"","330","Get courses","LMS service","Thu Mar 19 07:28:14 UTC 2026","passed","Thu Mar 19 07:28:14 UTC 2026","Get entities","Courses","",""
"","301","Create file","LMS service","Thu Mar 19 07:28:19 UTC 2026","passed","Thu Mar 19 07:28:19 UTC 2026","Create entity","Files","",""
"","330","Create course","LMS service","Thu Mar 19 07:28:15 UTC 2026","passed","Thu Mar 19 07:28:15 UTC 2026","Create entity","Courses","",""
"","610","Create user","LMS service","Thu Mar 19 07:28:22 UTC 2026","passed","Thu Mar 19 07:28:22 UTC 2026","Create entity","Users","",""
"","325","Delete exercise","LMS service","Thu Mar 19 07:28:18 UTC 2026","passed","Thu Mar 19 07:28:18 UTC 2026","Delete entity","Exercises","",""
"","297","Create file with empty directory","LMS service","Thu Mar 19 07:28:21 UTC 2026","failed","Thu Mar 19 07:28:21 UTC 2026","Validate entity","Files","",""
"","11","Get exercise","LMS service","Thu Mar 19 07:28:17 UTC 2026","passed","Thu Mar 19 07:28:17 UTC 2026","Get entity","Exercises","",""
"","17","Get exercises","LMS service","Thu Mar 19 07:28:18 UTC 2026","passed","Thu Mar 19 07:28:18 UTC 2026","Get entities","Exercises","",""
"","336","Update course","LMS service","Thu Mar 19 07:28:14 UTC 2026","passed","Thu Mar 19 07:28:14 UTC 2026","Update entity","Courses","",""
"","21","Delete file","LMS service","Thu Mar 19 07:28:22 UTC 2026","passed","Thu Mar 19 07:28:22 UTC 2026","Delete entity","Files","",""
"","323","Create user","LMS service","Thu Mar 19 07:28:22 UTC 2026","passed","Thu Mar 19 07:28:23 UTC 2026","Create entity","Users","",""
"","325","Create exercise","LMS service","Thu Mar 19 07:28:15 UTC 2026","passed","Thu Mar 19 07:28:16 UTC 2026","Create entity","Exercises","",""
"","298","Get file with incorrect file id","LMS service","Thu Mar 19 07:28:21 UTC 2026","passed","Thu Mar 19 07:28:22 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Thu Mar 19 07:28:20 UTC 2026","passed","Thu Mar 19 07:28:20 UTC 2026","Get entity","Files","",""
"","296","Create file with empty filename","LMS service","Thu Mar 19 07:28:20 UTC 2026","failed","Thu Mar 19 07:28:20 UTC 2026","Validate entity","Files","",""
"","315","Login with correct email and password","LMS service","Thu Mar 19 07:28:13 UTC 2026","passed","Thu Mar 19 07:28:13 UTC 2026","Login","Authentication","",""
