"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get user me","LMS service","Fri Mar 20 11:04:32 UTC 2026","passed","Fri Mar 20 11:04:32 UTC 2026","Get entity","Users","",""
"","19","Get exercises","LMS service","Fri Mar 20 11:04:27 UTC 2026","passed","Fri Mar 20 11:04:27 UTC 2026","Get entities","Exercises","",""
"","35","Update course","LMS service","Fri Mar 20 11:04:24 UTC 2026","passed","Fri Mar 20 11:04:24 UTC 2026","Update entity","Courses","",""
"","295","Create exercise","LMS service","Fri Mar 20 11:04:25 UTC 2026","passed","Fri Mar 20 11:04:25 UTC 2026","Create entity","Exercises","",""
"","31","Update exercise","LMS service","Fri Mar 20 11:04:26 UTC 2026","passed","Fri Mar 20 11:04:26 UTC 2026","Update entity","Exercises","",""
"","298","Delete file","LMS service","Fri Mar 20 11:04:31 UTC 2026","passed","Fri Mar 20 11:04:31 UTC 2026","Delete entity","Files","",""
"","27","Create file with empty directory","LMS service","Fri Mar 20 11:04:30 UTC 2026","passed","Fri Mar 20 11:04:30 UTC 2026","Validate entity","Files","",""
"","12","Get exercise","LMS service","Fri Mar 20 11:04:26 UTC 2026","passed","Fri Mar 20 11:04:26 UTC 2026","Get entity","Exercises","",""
"","16","Get file","LMS service","Fri Mar 20 11:04:28 UTC 2026","passed","Fri Mar 20 11:04:28 UTC 2026","Get entity","Files","",""
"","305","Get courses","LMS service","Fri Mar 20 11:04:23 UTC 2026","passed","Fri Mar 20 11:04:23 UTC 2026","Get entities","Courses","",""
"","263","Get file with incorrect file id","LMS service","Fri Mar 20 11:04:30 UTC 2026","passed","Fri Mar 20 11:04:31 UTC 2026","Validate entity","Files","",""
"","260","Create file with empty filename","LMS service","Fri Mar 20 11:04:29 UTC 2026","passed","Fri Mar 20 11:04:30 UTC 2026","Validate entity","Files","",""
"","36","Delete exercise","LMS service","Fri Mar 20 11:04:27 UTC 2026","passed","Fri Mar 20 11:04:27 UTC 2026","Delete entity","Exercises","",""
"","294","Create user","LMS service","Fri Mar 20 11:04:31 UTC 2026","passed","Fri Mar 20 11:04:31 UTC 2026","Create entity","Users","",""
"","558","Create user","LMS service","Fri Mar 20 11:04:31 UTC 2026","passed","Fri Mar 20 11:04:32 UTC 2026","Create entity","Users","",""
"","262","Create file","LMS service","Fri Mar 20 11:04:28 UTC 2026","passed","Fri Mar 20 11:04:28 UTC 2026","Create entity","Files","",""
"","297","Create user","LMS service","Fri Mar 20 11:04:31 UTC 2026","passed","Fri Mar 20 11:04:31 UTC 2026","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Fri Mar 20 11:04:22 UTC 2026","passed","Fri Mar 20 11:04:23 UTC 2026","Login","Authentication","",""
"","309","Create course","LMS service","Fri Mar 20 11:04:24 UTC 2026","passed","Fri Mar 20 11:04:25 UTC 2026","Create entity","Courses","",""
