"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","Create file with empty directory","LMS service","Fri Mar 20 12:14:14 UTC 2026","passed","Fri Mar 20 12:14:14 UTC 2026","Validate entity","Files","",""
"","31","Get courses","LMS service","Fri Mar 20 12:14:07 UTC 2026","passed","Fri Mar 20 12:14:07 UTC 2026","Get entities","Courses","",""
"","13","Get user me","LMS service","Fri Mar 20 12:14:16 UTC 2026","passed","Fri Mar 20 12:14:16 UTC 2026","Get entity","Users","",""
"","264","Get file with incorrect file id","LMS service","Fri Mar 20 12:14:14 UTC 2026","passed","Fri Mar 20 12:14:15 UTC 2026","Validate entity","Files","",""
"","267","Create file","LMS service","Fri Mar 20 12:14:12 UTC 2026","passed","Fri Mar 20 12:14:12 UTC 2026","Create entity","Files","",""
"","25","Delete file","LMS service","Fri Mar 20 12:14:15 UTC 2026","passed","Fri Mar 20 12:14:15 UTC 2026","Delete entity","Files","",""
"","16","Get exercises","LMS service","Fri Mar 20 12:14:12 UTC 2026","passed","Fri Mar 20 12:14:12 UTC 2026","Get entities","Exercises","",""
"","15","Get file","LMS service","Fri Mar 20 12:14:13 UTC 2026","passed","Fri Mar 20 12:14:13 UTC 2026","Get entity","Files","",""
"","263","Create file with empty filename","LMS service","Fri Mar 20 12:14:13 UTC 2026","passed","Fri Mar 20 12:14:13 UTC 2026","Validate entity","Files","",""
"","292","Delete exercise","LMS service","Fri Mar 20 12:14:11 UTC 2026","passed","Fri Mar 20 12:14:11 UTC 2026","Delete entity","Exercises","",""
"","12","Get exercise","LMS service","Fri Mar 20 12:14:10 UTC 2026","passed","Fri Mar 20 12:14:11 UTC 2026","Get entity","Exercises","",""
"","542","Create user","LMS service","Fri Mar 20 12:14:15 UTC 2026","passed","Fri Mar 20 12:14:16 UTC 2026","Create entity","Users","",""
"","309","Update course","LMS service","Fri Mar 20 12:14:08 UTC 2026","passed","Fri Mar 20 12:14:08 UTC 2026","Update entity","Courses","",""
"","290","Create user","LMS service","Fri Mar 20 12:14:15 UTC 2026","passed","Fri Mar 20 12:14:16 UTC 2026","Create entity","Users","",""
"","547","Create user","LMS service","Fri Mar 20 12:14:15 UTC 2026","passed","Fri Mar 20 12:14:15 UTC 2026","Create entity","Users","",""
"","21","Create exercise","LMS service","Fri Mar 20 12:14:09 UTC 2026","passed","Fri Mar 20 12:14:09 UTC 2026","Create entity","Exercises","",""
"","303","Create course","LMS service","Fri Mar 20 12:14:08 UTC 2026","passed","Fri Mar 20 12:14:09 UTC 2026","Create entity","Courses","",""
"","283","Login with correct email and password","LMS service","Fri Mar 20 12:14:07 UTC 2026","passed","Fri Mar 20 12:14:07 UTC 2026","Login","Authentication","",""
"","292","Update exercise","LMS service","Fri Mar 20 12:14:10 UTC 2026","passed","Fri Mar 20 12:14:10 UTC 2026","Update entity","Exercises","",""
