"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","296","Create course","LMS service","Thu Mar 19 07:08:28 UTC 2026","passed","Thu Mar 19 07:08:29 UTC 2026","Create entity","Courses","",""
"","31","Update course","LMS service","Thu Mar 19 07:08:28 UTC 2026","passed","Thu Mar 19 07:08:28 UTC 2026","Update entity","Courses","",""
"","295","Create exercise","LMS service","Thu Mar 19 07:08:29 UTC 2026","passed","Thu Mar 19 07:08:29 UTC 2026","Create entity","Exercises","",""
"","14","Get exercise","LMS service","Thu Mar 19 07:08:30 UTC 2026","passed","Thu Mar 19 07:08:30 UTC 2026","Get entity","Exercises","",""
"","533","Create user","LMS service","Thu Mar 19 07:08:35 UTC 2026","passed","Thu Mar 19 07:08:36 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Thu Mar 19 07:08:33 UTC 2026","passed","Thu Mar 19 07:08:33 UTC 2026","Get entity","Files","",""
"","261","Get file with incorrect file id","LMS service","Thu Mar 19 07:08:34 UTC 2026","passed","Thu Mar 19 07:08:34 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Thu Mar 19 07:08:36 UTC 2026","passed","Thu Mar 19 07:08:36 UTC 2026","Get entity","Users","",""
"","260","Create file with empty filename","LMS service","Thu Mar 19 07:08:33 UTC 2026","failed","Thu Mar 19 07:08:33 UTC 2026","Validate entity","Files","",""
"","261","Create file","LMS service","Thu Mar 19 07:08:32 UTC 2026","passed","Thu Mar 19 07:08:32 UTC 2026","Create entity","Files","",""
"","22","Delete file","LMS service","Thu Mar 19 07:08:35 UTC 2026","passed","Thu Mar 19 07:08:35 UTC 2026","Delete entity","Files","",""
"","289","Create user","LMS service","Thu Mar 19 07:08:35 UTC 2026","passed","Thu Mar 19 07:08:35 UTC 2026","Create entity","Users","",""
"","254","Create file with empty directory","LMS service","Thu Mar 19 07:08:34 UTC 2026","failed","Thu Mar 19 07:08:34 UTC 2026","Validate entity","Files","",""
"","541","Login with correct email and password","LMS service","Thu Mar 19 07:08:26 UTC 2026","passed","Thu Mar 19 07:08:27 UTC 2026","Login","Authentication","",""
"","292","Delete exercise","LMS service","Thu Mar 19 07:08:31 UTC 2026","passed","Thu Mar 19 07:08:31 UTC 2026","Delete entity","Exercises","",""
"","286","Update exercise","LMS service","Thu Mar 19 07:08:30 UTC 2026","passed","Thu Mar 19 07:08:30 UTC 2026","Update entity","Exercises","",""
"","298","Get courses","LMS service","Thu Mar 19 07:08:27 UTC 2026","passed","Thu Mar 19 07:08:27 UTC 2026","Get entities","Courses","",""
"","17","Get exercises","LMS service","Thu Mar 19 07:08:32 UTC 2026","passed","Thu Mar 19 07:08:32 UTC 2026","Get entities","Exercises","",""
"","541","Create user","LMS service","Thu Mar 19 07:08:34 UTC 2026","passed","Thu Mar 19 07:08:35 UTC 2026","Create entity","Users","",""
