"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create exercise","LMS service","Thu Mar 19 07:20:43 UTC 2026","passed","Thu Mar 19 07:20:43 UTC 2026","Create entity","Exercises","",""
"","299","Update course","LMS service","Thu Mar 19 07:20:41 UTC 2026","passed","Thu Mar 19 07:20:42 UTC 2026","Update entity","Courses","",""
"","284","Get exercise","LMS service","Thu Mar 19 07:20:43 UTC 2026","passed","Thu Mar 19 07:20:44 UTC 2026","Get entity","Exercises","",""
"","21","Delete file","LMS service","Thu Mar 19 07:20:48 UTC 2026","passed","Thu Mar 19 07:20:49 UTC 2026","Delete entity","Files","",""
"","16","Get file","LMS service","Thu Mar 19 07:20:46 UTC 2026","passed","Thu Mar 19 07:20:46 UTC 2026","Get entity","Files","",""
"","550","Login with correct email and password","LMS service","Thu Mar 19 07:20:40 UTC 2026","passed","Thu Mar 19 07:20:40 UTC 2026","Login","Authentication","",""
"","536","Create user","LMS service","Thu Mar 19 07:20:49 UTC 2026","passed","Thu Mar 19 07:20:49 UTC 2026","Create entity","Users","",""
"","549","Create user","LMS service","Thu Mar 19 07:20:48 UTC 2026","passed","Thu Mar 19 07:20:48 UTC 2026","Create entity","Users","",""
"","30","Get courses","LMS service","Thu Mar 19 07:20:41 UTC 2026","passed","Thu Mar 19 07:20:41 UTC 2026","Get entities","Courses","",""
"","256","Create file with empty directory","LMS service","Thu Mar 19 07:20:47 UTC 2026","failed","Thu Mar 19 07:20:47 UTC 2026","Validate entity","Files","",""
"","289","Create user","LMS service","Thu Mar 19 07:20:49 UTC 2026","passed","Thu Mar 19 07:20:49 UTC 2026","Create entity","Users","",""
"","266","Create file","LMS service","Thu Mar 19 07:20:45 UTC 2026","passed","Thu Mar 19 07:20:46 UTC 2026","Create entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Thu Mar 19 07:20:48 UTC 2026","passed","Thu Mar 19 07:20:48 UTC 2026","Validate entity","Files","",""
"","295","Delete exercise","LMS service","Thu Mar 19 07:20:44 UTC 2026","passed","Thu Mar 19 07:20:45 UTC 2026","Delete entity","Exercises","",""
"","291","Update exercise","LMS service","Thu Mar 19 07:20:43 UTC 2026","passed","Thu Mar 19 07:20:43 UTC 2026","Update entity","Exercises","",""
"","295","Create course","LMS service","Thu Mar 19 07:20:42 UTC 2026","passed","Thu Mar 19 07:20:42 UTC 2026","Create entity","Courses","",""
"","12","Get user me","LMS service","Thu Mar 19 07:20:50 UTC 2026","passed","Thu Mar 19 07:20:50 UTC 2026","Get entity","Users","",""
"","257","Create file with empty filename","LMS service","Thu Mar 19 07:20:47 UTC 2026","failed","Thu Mar 19 07:20:47 UTC 2026","Validate entity","Files","",""
"","15","Get exercises","LMS service","Thu Mar 19 07:20:45 UTC 2026","passed","Thu Mar 19 07:20:45 UTC 2026","Get entities","Exercises","",""
